Lista de adyacencias no dirigida para 100 paises
P001: P002,P011
P002: P001,P003,P012
P003: P002,P004,P013
P004: P003,P005,P014
P005: P004,P006,P015
P006: P005,P007,P016
P007: P006,P008,P017
P008: P007,P009,P018
P009: P008,P010,P019
P010: P009,P020
P011: P001,P012,P021
P012: P002,P011,P013,P022
P013: P003,P012,P014,P023
P014: P004,P013,P015,P024
P015: P005,P014,P016,P025
P016: P006,P015,P017,P026
P017: P007,P016,P018,P027
P018: P008,P017,P019,P028
P019: P009,P018,P020,P029
P020: P010,P019,P030
P021: P011,P022,P031
P022: P012,P021,P023,P032
P023: P013,P022,P024,P033
P024: P014,P023,P025,P034
P025: P015,P024,P026,P035
P026: P016,P025,P027,P036
P027: P017,P026,P028,P037
P028: P018,P027,P029,P038
P029: P019,P028,P030,P039
P030: P020,P029,P040
P031: P021,P032,P041
P032: P022,P031,P033,P042
P033: P023,P032,P034,P043
P034: P024,P033,P035,P044
P035: P025,P034,P036,P045
P036: P026,P035,P037,P046
P037: P027,P036,P038,P047
P038: P028,P037,P039,P048
P039: P029,P038,P040,P049
P040: P030,P039,P050
P041: P031,P042,P051
P042: P032,P041,P043,P052
P043: P033,P042,P044,P053
P044: P034,P043,P045,P054
P045: P035,P044,P046,P055
P046: P036,P045,P047,P056
P047: P037,P046,P048,P057
P048: P038,P047,P049,P058
P049: P039,P048,P050,P059
P050: P040,P049,P060
P051: P041,P052,P061
P052: P042,P051,P053,P062
P053: P043,P052,P054,P063
P054: P044,P053,P055,P064
P055: P045,P054,P056,P065
P056: P046,P055,P057,P066
P057: P047,P056,P058,P067
P058: P048,P057,P059,P068
P059: P049,P058,P060,P069
P060: P050,P059,P070
P061: P051,P062,P071
P062: P052,P061,P063,P072
P063: P053,P062,P064,P073
P064: P054,P063,P065,P074
P065: P055,P064,P066,P075
P066: P056,P065,P067,P076
P067: P057,P066,P068,P077
P068: P058,P067,P069,P078
P069: P059,P068,P070,P079
P070: P060,P069,P080
P071: P061,P072,P081
P072: P062,P071,P073,P082
P073: P063,P072,P074,P083
P074: P064,P073,P075,P084
P075: P065,P074,P076,P085
P076: P066,P075,P077,P086
P077: P067,P076,P078,P087
P078: P068,P077,P079,P088
P079: P069,P078,P080,P089
P080: P070,P079,P090
P081: P071,P082,P091
P082: P072,P081,P083,P092
P083: P073,P082,P084,P093
P084: P074,P083,P085,P094
P085: P075,P084,P086,P095
P086: P076,P085,P087,P096
P087: P077,P086,P088,P097
P088: P078,P087,P089,P098
P089: P079,P088,P090,P099
P090: P080,P089,P100
P091: P081,P092
P092: P082,P091,P093
P093: P083,P092,P094
P094: P084,P093,P095
P095: P085,P094,P096
P096: P086,P095,P097
P097: P087,P096,P098
P098: P088,P097,P099
P099: P089,P098,P100
P100: P090,P099
